City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ranikhet,29.65,79.4167,15.22,87,0,1.69,IN,1696007525
1,queenstown,-31.8976,26.8753,21.44,24,1,3.36,ZA,1696007525
2,macapa,0.0389,-51.0664,33.99,49,40,6.69,BR,1696007389
3,port-aux-francais,-49.35,70.2167,1.33,73,25,19.71,TF,1696007525
4,chonchi,-42.6128,-73.8092,11.56,54,13,2.04,CL,1696007525
5,stanley,54.868,-1.6985,14.33,74,20,6.69,GB,1696007526
6,waitangi,-43.9535,-176.5597,9.34,92,88,3.13,NZ,1696007526
7,keflavik,64.0049,-22.5624,10.95,71,40,3.6,IS,1696007526
8,zonguldak,41.25,31.8333,15.29,93,67,0.59,TR,1696007526
9,bilibino,68.0546,166.4372,-1.35,97,93,3.42,RU,1696007526
10,auburn,47.3073,-122.2284,13.1,83,75,6.69,US,1696007505
11,prince rupert,54.3161,-130.3201,9.05,95,100,1.54,CA,1696007498
12,avarua,-21.2078,-159.775,24.03,88,40,7.2,CK,1696007526
13,betio village,1.358,172.9211,29.02,74,100,5.02,KI,1696007526
14,blackmans bay,-43.0167,147.3167,7.51,90,62,2.8,AU,1696007526
15,gizo,-8.103,156.8419,26.54,83,93,2.99,SB,1696007526
16,ayden,35.4727,-77.4155,21.16,89,100,3.09,US,1696007526
17,staunton,38.1496,-79.0717,21.53,74,40,1.54,US,1696007526
18,eruh,37.7517,42.1811,22.46,27,0,3.3,TR,1696007527
19,ribeira grande,38.5167,-28.7,22.65,94,75,8.94,PT,1696007527
20,afaahiti,-17.75,-149.2833,24.93,84,52,9.25,PF,1696007527
21,pariaman,-0.619,100.12,26.03,84,68,1.68,ID,1696007527
22,columbia falls,48.3725,-114.1815,10.82,83,0,0.0,US,1696007527
23,saipan,15.1355,145.701,27.39,83,0,2.57,MP,1696007527
24,margaret river,-33.95,115.0667,14.79,72,96,6.93,AU,1696007527
25,cidreira,-30.1811,-50.2056,19.71,75,55,9.3,BR,1696007477
26,invercargill,-46.4,168.35,3.9,84,99,8.05,NZ,1696007413
27,bethel,41.3712,-73.414,14.45,89,100,3.09,US,1696007527
28,happy valley-goose bay,53.3168,-60.3315,18.17,52,75,3.6,CA,1696007527
29,urangan,-25.3,152.9,18.27,81,0,2.15,AU,1696007527
30,adamstown,-25.066,-130.1015,20.54,80,90,10.27,PN,1696007527
31,magadan,59.5667,150.8,5.47,90,97,1.45,RU,1696007528
32,utrik,11.2278,169.8474,28.27,81,100,7.0,MH,1696007528
33,ilulissat,69.2167,-51.1,2.01,64,75,0.0,GL,1696007528
34,hithadhoo,-0.6,73.0833,28.25,75,55,7.27,MV,1696007528
35,tres arroyos,-38.3739,-60.2798,9.76,61,100,6.25,AR,1696007528
36,salinas,36.6777,-121.6555,19.76,75,0,4.63,US,1696007528
37,vorgashor,67.5833,63.95,-0.15,77,65,0.51,RU,1696007528
38,mareeba,-17.0,145.4333,19.4,93,50,1.44,AU,1696007528
39,dudinka,69.4058,86.1778,-2.43,91,100,9.2,RU,1696007528
40,codrington,-38.2667,141.9667,11.58,64,4,4.65,AU,1696007528
41,sanming,26.2486,117.6186,24.78,87,0,0.47,CN,1696007528
42,college,64.8569,-147.8028,0.6,77,75,0.0,US,1696007427
43,grytviken,-54.2811,-36.5092,-0.4,81,20,5.99,GS,1696007529
44,banfora,10.6333,-4.7667,30.8,65,100,1.34,BF,1696007529
45,port elizabeth,-33.918,25.5701,21.17,60,0,5.66,ZA,1696007503
46,leh,34.1667,77.5833,9.89,22,6,2.53,IN,1696007529
47,santa terezinha,-29.9002,-50.0904,19.71,77,51,9.31,BR,1696007529
48,kolonia,50.9333,6.95,18.31,86,100,5.66,DE,1696007529
49,tolanaro,-25.0319,46.9987,22.5,82,0,7.41,MG,1696007529
50,iqaluit,63.7506,-68.5145,1.5,89,100,6.71,CA,1696007397
51,aitape,-3.1374,142.3475,26.04,85,99,3.58,PG,1696007529
